WKT,GEOID,NAME,latinopop,medage,medincome,pubTransitToWork,pop,whitepop,blackpop,nativepop,asianpop,hpipop,insured
"POLYGON ((-73.531181 41.056383,-73.530718 41.05709,-73.529622 41.059312,-73.527869 41.058941,-73.526767 41.058782,-73.524292 41.05795,-73.52412 41.055853,-73.526278 41.054206,-73.528191 41.053622,-73.529111 41.05316,-73.529318 41.053663,-73.529685 41.055335,-73.531024 41.055237,-73.531181 41.056383))","09001021701","Census Tract 217.01, Fairfield County, Connecticut",1127,30.4,43453,308,3902,1516,1054,0,358,0,3902
"POLYGON ((-73.235112 41.183334,-73.231888 41.186309,-73.229584 41.184461,-73.228348 41.183108,-73.226089 41.181141,-73.22369 41.182191,-73.221729 41.180657,-73.218012 41.183284,-73.219647 41.18148,-73.219268 41.179367,-73.223072 41.176385,-73.227415 41.178052,-73.231146 41.17815,-73.234541 41.178613,-73.236102 41.178592,-73.235112 41.183334))","09001061200","Census Tract 612, Fairfield County, Connecticut",296,35.5,43846,45,2532,1991,23,0,245,0,2532
"POLYGON ((-73.223072 41.176385,-73.219268 41.179367,-73.219647 41.18148,-73.218012 41.183284,-73.218692 41.184554,-73.220371 41.187949,-73.219772 41.191592,-73.219403 41.195315,-73.219139 41.197759,-73.217934 41.196248,-73.215055 41.192963,-73.213519 41.191171,-73.211038 41.188272,-73.206688 41.183099,-73.208728 41.18204,-73.210898 41.180961,-73.214793 41.178991,-73.217097 41.177988,-73.218219 41.177476,-73.220707 41.176707,-73.223072 41.176385))","09001072100","Census Tract 721, Fairfield County, Connecticut",1696,43.5,31938,249,6130,2897,1896,25,686,107,6130
"POLYGON ((-73.178861 41.206145,-73.178909 41.210139,-73.174744 41.214134,-73.17303 41.215722,-73.167259 41.223977,-73.164684 41.225647,-73.157636 41.228377,-73.159084 41.225934,-73.161087 41.224566,-73.162827 41.220225,-73.161944 41.217572,-73.157988 41.20543,-73.161443 41.205537,-73.165859 41.204511,-73.168151 41.203199,-73.170221 41.199765,-73.171764 41.200095,-73.173272 41.200791,-73.173637 41.200343,-73.177182 41.202671,-73.176818 41.20393,-73.179169 41.204098,-73.178861 41.206145))","09001073100","Census Tract 731, Fairfield County, Connecticut",2273,39.4,33917,212,4599,1515,1158,0,240,59,4599
"POLYGON ((-73.564444 41.044916,-73.561597 41.044798,-73.558415 41.044436,-73.555228 41.044165,-73.553633 41.044262,-73.551284 41.044698,-73.545029 41.046638,-73.545137 41.045721,-73.544851 41.044081,-73.544889 41.041339,-73.544457 41.039565,-73.542853 41.033996,-73.539295 41.030465,-73.5388063444217 41.0297011643238,-73.5399030967674 41.0289995289219,-73.544845 41.025838,-73.547436 41.022881,-73.551494 41.024336,-73.552870490795 41.0233452383279,-73.555149 41.02515,-73.555689 41.028431,-73.560087 41.035095,-73.563154 41.040232,-73.564444 41.044916))","09001022300","Census Tract 223, Fairfield County, Connecticut",2587,34.8,42954,261,5506,1614,1866,33,79,0,5506
"POLYGON ((-73.206186 41.182609,-73.201093 41.181736,-73.198518 41.18107,-73.194994 41.18029,-73.195816 41.178836,-73.19898 41.175413,-73.199359 41.175926,-73.201245 41.177708,-73.201772 41.178267,-73.204688 41.181045,-73.206186 41.182609))","09001071300","Census Tract 713, Fairfield County, Connecticut",1166,41.7,21642,219,3091,856,1476,12,0,0,3075
"POLYGON ((-73.197524 41.183459,-73.19724 41.184147,-73.19634 41.186257,-73.193387 41.185971,-73.193572 41.185245,-73.194252 41.183105,-73.194994 41.18029,-73.198518 41.18107,-73.197524 41.183459))","09001071600","Census Tract 716, Fairfield County, Connecticut",1721,25.6,15969,263,2506,930,819,0,0,0,2506
"POLYGON ((-73.217424 41.166649,-73.216491 41.16749,-73.213142 41.1678,-73.208451 41.168192,-73.201067 41.168843,-73.197002 41.169183,-73.19945 41.167127,-73.206299 41.161799,-73.207536 41.160756,-73.211257 41.157796,-73.214157 41.155996,-73.216157 41.155196,-73.216656 41.159065,-73.216695 41.160606,-73.217112 41.163569,-73.218643 41.165514,-73.217424 41.166649))","09001070300","Census Tract 703, Fairfield County, Connecticut",942,18.9,11250,10,1245,560,236,0,0,0,1245
"POLYGON ((-73.535787 41.049889,-73.533669 41.050602,-73.530607 41.052216,-73.529111 41.05316,-73.528191 41.053622,-73.526278 41.054206,-73.524344 41.054551,-73.521293 41.055141,-73.521417 41.054042,-73.519594 41.053948,-73.519178 41.049571,-73.520517 41.049465,-73.521621 41.049274,-73.524398 41.048728,-73.524541 41.048784,-73.527705 41.050514,-73.528501 41.049817,-73.534239 41.048759,-73.534975 41.048473,-73.535787 41.049889))","09001022101","Census Tract 221.01, Fairfield County, Connecticut",2329,33.3,14778,115,3557,913,176,0,283,0,3462
"POLYGON ((-73.19945 41.167127,-73.197002 41.169183,-73.194393 41.169394,-73.189475 41.169937,-73.187473 41.166094,-73.187876 41.164587,-73.190492 41.164221,-73.192442 41.166771,-73.195061 41.165237,-73.197626 41.165221,-73.19945 41.167127))","09001070500","Census Tract 705, Fairfield County, Connecticut",967,35.4,17684,0,1877,868,593,146,22,0,1877
"POLYGON ((-73.186271 41.20745,-73.183363 41.212737,-73.179418 41.217994,-73.17884 41.221975,-73.177264 41.222342,-73.171201 41.222569,-73.169545 41.222764,-73.164684 41.225647,-73.167259 41.223977,-73.17303 41.215722,-73.174744 41.214134,-73.178909 41.210139,-73.178861 41.206145,-73.183838 41.206223,-73.185554 41.206996,-73.187454 41.204448,-73.186271 41.20745))","09001073000","Census Tract 730, Fairfield County, Connecticut",940,40.1,36155,93,1987,740,616,42,0,0,1987
"POLYGON ((-73.473173 41.440983,-73.46998 41.440697,-73.464798 41.442505,-73.46391 41.445912,-73.467049 41.447054,-73.464861 41.448388,-73.46482 41.447316,-73.456591 41.446866,-73.457449 41.443257,-73.461429 41.442628,-73.457889 41.440022,-73.459026 41.439023,-73.462082 41.438765,-73.463212 41.437936,-73.463681 41.435169,-73.461133 41.434215,-73.461709 41.431338,-73.466193 41.431054,-73.468031 41.430316,-73.468259 41.429188,-73.468987 41.42967,-73.47128 41.4287,-73.471223 41.429383,-73.472873 41.432094,-73.473557 41.432966,-73.473173 41.440983))","09001211100","Census Tract 2111, Fairfield County, Connecticut",239,41.9,,0,1211,763,342,31,17,0,183
