State (FIPS Code),County of current residence,Census Tract,Block Group,Qualifying Name,FIPS,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_QName,Geo_FIPS,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
09,001,010101,1,"Block Group 1, Census Tract 101.01, Fairfield County, Connecticut",090010101011,688,652,36,1057,69,103,92,484,182,102,25,1539,1539,1500,0,0,37,0,1,1,1539,1472,1435,0,0,37,0,0,0,67,65,0,0,0,0,1,1,,,
09,001,010101,2,"Block Group 2, Census Tract 101.01, Fairfield County, Connecticut",090010101012,13,13,0,190,23,97,29,29,12,0,0,194,194,178,11,0,0,0,5,0,194,179,168,11,0,0,0,0,0,15,10,0,0,0,0,5,0,,,
09,001,010101,3,"Block Group 3, Census Tract 101.01, Fairfield County, Connecticut",090010101013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
09,001,010101,4,"Block Group 4, Census Tract 101.01, Fairfield County, Connecticut",090010101014,648,590,58,902,19,194,114,282,224,29,40,1299,1299,1130,104,0,42,0,0,23,1299,1276,1130,104,0,42,0,0,0,23,0,0,0,0,0,0,23,,,
09,001,010101,5,"Block Group 5, Census Tract 101.01, Fairfield County, Connecticut",090010101015,685,668,17,954,6,142,27,394,306,70,9,1359,1359,1171,11,0,56,0,10,111,1359,1235,1156,11,0,56,0,0,12,124,15,0,0,0,0,10,99,,,
09,001,010102,1,"Block Group 1, Census Tract 101.02, Fairfield County, Connecticut",090010101021,736,721,15,934,6,75,98,342,228,62,123,1628,1628,1448,3,0,35,0,0,142,1628,1504,1324,3,0,35,0,0,142,124,124,0,0,0,0,0,0,,,
09,001,010102,2,"Block Group 2, Census Tract 101.02, Fairfield County, Connecticut",090010101022,603,559,44,811,0,0,43,317,270,168,13,1356,1356,1265,0,0,15,0,0,76,1356,1356,1265,0,0,15,0,0,76,0,0,0,0,0,0,0,0,,,
09,001,010102,3,"Block Group 3, Census Tract 101.02, Fairfield County, Connecticut",090010101023,566,566,0,880,15,100,158,274,219,84,30,1152,1152,996,79,0,77,0,0,0,1152,1099,974,48,0,77,0,0,0,53,22,31,0,0,0,0,0,,,
09,001,010201,1,"Block Group 1, Census Tract 102.01, Fairfield County, Connecticut",090010102011,441,413,28,781,0,23,53,362,280,44,19,1120,1120,1007,0,0,38,0,0,75,1120,1081,997,0,0,38,0,0,46,39,10,0,0,0,0,0,29,,,
09,001,010201,2,"Block Group 2, Census Tract 102.01, Fairfield County, Connecticut",090010102012,393,383,10,615,9,34,80,151,189,124,28,1069,1069,974,6,0,42,0,0,47,1069,797,742,6,0,42,0,0,7,272,232,0,0,0,0,0,40,,,
09,001,010201,3,"Block Group 3, Census Tract 102.01, Fairfield County, Connecticut",090010102013,444,444,0,841,37,138,66,262,251,79,8,1312,1312,1144,14,0,72,0,8,74,1312,1184,1085,7,0,72,0,0,20,128,59,7,0,0,0,8,54,,,
09,001,010202,1,"Block Group 1, Census Tract 102.02, Fairfield County, Connecticut",090010102021,455,438,17,719,7,22,75,362,227,26,0,1092,1092,772,0,0,215,0,0,105,1092,1083,763,0,0,215,0,0,105,9,9,0,0,0,0,0,0,,,
09,001,010202,2,"Block Group 2, Census Tract 102.02, Fairfield County, Connecticut",090010102022,1534,1378,156,1737,111,487,174,499,359,65,42,2591,2591,1895,0,11,91,0,156,438,2591,2394,1813,0,11,91,0,41,438,197,82,0,0,0,0,115,0,,,
09,001,010202,3,"Block Group 3, Census Tract 102.02, Fairfield County, Connecticut",090010102023,505,488,17,781,0,71,78,259,278,56,39,1251,1251,1096,0,0,92,0,0,63,1251,1117,1012,0,0,92,0,0,13,134,84,0,0,0,0,0,50,,,
09,001,010202,4,"Block Group 4, Census Tract 102.02, Fairfield County, Connecticut",090010102024,453,444,9,554,17,70,39,209,130,70,19,809,809,665,20,0,35,0,0,89,809,687,543,20,0,35,0,0,89,122,122,0,0,0,0,0,0,,,
09,001,010300,1,"Block Group 1, Census Tract 103, Fairfield County, Connecticut",090010103001,289,289,0,532,0,10,27,215,230,25,25,832,832,707,77,0,11,0,0,37,832,832,707,77,0,11,0,0,37,0,0,0,0,0,0,0,0,,,
09,001,010300,2,"Block Group 2, Census Tract 103, Fairfield County, Connecticut",090010103002,1153,1153,0,1586,21,45,188,687,456,161,28,2016,2016,1884,1,0,63,0,13,55,2016,1941,1822,1,0,63,0,0,55,75,62,0,0,0,0,13,0,,,
09,001,010300,3,"Block Group 3, Census Tract 103, Fairfield County, Connecticut",090010103003,616,540,76,915,25,29,62,319,259,193,28,1289,1289,1034,16,0,150,0,44,45,1289,1237,1026,16,0,150,0,0,45,52,8,0,0,0,0,44,0,,,
09,001,010400,1,"Block Group 1, Census Tract 104, Fairfield County, Connecticut",090010104001,867,801,66,1117,30,93,122,486,331,35,20,1465,1465,1319,0,0,36,0,0,110,1465,1355,1319,0,0,36,0,0,0,110,0,0,0,0,0,0,110,,,
09,001,010400,2,"Block Group 2, Census Tract 104, Fairfield County, Connecticut",090010104002,397,382,15,498,0,105,129,130,95,19,20,745,745,668,21,0,18,0,0,38,745,724,668,0,0,18,0,0,38,21,0,21,0,0,0,0,0,,,
09,001,010400,3,"Block Group 3, Census Tract 104, Fairfield County, Connecticut",090010104003,706,574,132,813,46,340,63,161,136,41,26,977,977,847,0,0,46,0,84,0,977,864,818,0,0,46,0,0,0,113,29,0,0,0,0,84,0,,,
09,001,010400,4,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",090010104004,893,853,40,981,64,97,298,284,195,43,0,1305,1305,1096,185,0,0,0,24,0,1305,1281,1096,185,0,0,0,0,0,24,0,0,0,0,0,24,0,,,
09,001,010400,5,"Block Group 5, Census Tract 104, Fairfield County, Connecticut",090010104005,697,697,0,814,30,164,228,169,187,22,14,1123,1123,834,0,0,188,0,43,58,1123,1080,834,0,0,188,0,0,58,43,0,0,0,0,0,43,0,,,
09,001,010500,1,"Block Group 1, Census Tract 105, Fairfield County, Connecticut",090010105001,689,577,112,1062,100,225,201,336,153,47,0,1418,1418,1153,30,0,117,0,56,62,1418,755,546,30,0,117,0,0,62,663,607,0,0,0,0,56,0,,,
09,001,010500,2,"Block Group 2, Census Tract 105, Fairfield County, Connecticut",090010105002,633,633,0,636,38,259,138,57,128,0,16,949,949,573,0,0,68,0,154,154,949,693,504,0,0,68,0,53,68,256,69,0,0,0,0,101,86,,,
09,001,010500,3,"Block Group 3, Census Tract 105, Fairfield County, Connecticut",090010105003,1422,1178,244,1581,72,283,438,488,237,45,18,2536,2536,2138,116,0,28,0,156,98,2536,2031,1808,116,0,28,0,47,32,505,330,0,0,0,0,109,66,,,
09,001,010500,4,"Block Group 4, Census Tract 105, Fairfield County, Connecticut",090010105004,1003,1003,0,1158,159,333,178,264,224,0,0,1575,1575,1094,50,0,226,0,0,205,1575,1151,833,50,0,226,0,0,42,424,261,0,0,0,0,0,163,,,
09,001,010600,1,"Block Group 1, Census Tract 106, Fairfield County, Connecticut",090010106001,501,446,55,758,1,20,93,470,137,31,6,950,950,615,69,0,152,0,26,88,950,922,615,61,0,152,0,26,68,28,0,8,0,0,0,0,20,,,
09,001,010600,2,"Block Group 2, Census Tract 106, Fairfield County, Connecticut",090010106002,546,467,79,822,8,63,173,229,223,110,16,992,992,826,59,6,20,11,9,61,992,871,722,59,6,20,0,9,55,121,104,0,0,0,11,0,6,,,
09,001,010700,1,"Block Group 1, Census Tract 107, Fairfield County, Connecticut",090010107001,443,397,46,627,49,180,113,160,115,10,0,766,766,571,104,0,62,0,10,19,766,642,465,96,0,62,0,0,19,124,106,8,0,0,0,10,0,,,
09,001,010700,2,"Block Group 2, Census Tract 107, Fairfield County, Connecticut",090010107002,265,229,36,717,16,69,68,276,200,73,15,909,909,813,0,0,68,0,0,28,909,754,658,0,0,68,0,0,28,155,155,0,0,0,0,0,0,,,
09,001,010700,3,"Block Group 3, Census Tract 107, Fairfield County, Connecticut",090010107003,654,572,82,1041,72,138,160,182,319,154,16,1716,1716,1082,348,0,7,0,278,1,1716,1413,1058,348,0,7,0,0,0,303,24,0,0,0,0,278,1,,,
09,001,010800,1,"Block Group 1, Census Tract 108, Fairfield County, Connecticut",090010108001,475,466,9,672,62,103,67,257,167,16,0,993,993,736,0,0,35,0,141,81,993,727,656,0,0,35,0,0,36,266,80,0,0,0,0,141,45,,,
09,001,010800,2,"Block Group 2, Census Tract 108, Fairfield County, Connecticut",090010108002,562,544,18,693,50,88,145,190,142,48,30,943,943,852,4,0,61,0,2,24,943,895,818,4,0,61,0,0,12,48,34,0,0,0,0,2,12,,,
09,001,010800,3,"Block Group 3, Census Tract 108, Fairfield County, Connecticut",090010108003,761,736,25,891,13,59,94,339,316,59,11,1356,1356,1194,16,0,105,0,16,25,1356,1286,1139,16,0,105,0,16,10,70,55,0,0,0,0,0,15,,,
09,001,010900,1,"Block Group 1, Census Tract 109, Fairfield County, Connecticut",090010109001,637,536,101,847,27,33,47,261,332,110,37,1332,1332,1235,25,0,49,0,0,23,1332,1241,1144,25,0,49,0,0,23,91,91,0,0,0,0,0,0,,,
09,001,010900,2,"Block Group 2, Census Tract 109, Fairfield County, Connecticut",090010109002,863,792,71,1017,43,190,168,288,253,29,46,1669,1669,1030,184,27,317,0,34,77,1669,1471,915,143,27,317,0,7,62,198,115,41,0,0,0,27,15,,,
09,001,010900,3,"Block Group 3, Census Tract 109, Fairfield County, Connecticut",090010109003,526,526,0,765,23,0,89,341,219,48,45,1241,1241,568,0,0,579,0,0,94,1241,1149,525,0,0,579,0,0,45,92,43,0,0,0,0,0,49,,,
09,001,010900,4,"Block Group 4, Census Tract 109, Fairfield County, Connecticut",090010109004,504,443,61,749,8,39,96,395,159,14,38,1075,1075,507,10,0,288,0,0,270,1075,797,475,10,0,288,0,0,24,278,32,0,0,0,0,0,246,,,
09,001,011000,1,"Block Group 1, Census Tract 110, Fairfield County, Connecticut",090010110001,991,991,0,1254,41,119,81,446,457,104,6,2085,2085,1595,23,0,337,0,65,65,2085,1900,1553,0,0,337,0,0,10,185,42,23,0,0,0,65,55,,,
09,001,011000,2,"Block Group 2, Census Tract 110, Fairfield County, Connecticut",090010110002,450,450,0,714,15,30,66,209,282,61,51,1357,1357,1196,13,0,48,0,14,86,1357,1200,1061,13,0,48,0,14,64,157,135,0,0,0,0,0,22,,,
09,001,011000,3,"Block Group 3, Census Tract 110, Fairfield County, Connecticut",090010110003,383,376,7,531,0,64,48,209,149,32,29,861,861,720,0,0,23,0,29,89,861,826,720,0,0,23,0,29,54,35,0,0,0,0,0,0,35,,,
09,001,011000,4,"Block Group 4, Census Tract 110, Fairfield County, Connecticut",090010110004,197,197,0,430,0,0,0,174,211,21,24,638,638,503,0,0,16,0,0,119,638,559,424,0,0,16,0,0,119,79,79,0,0,0,0,0,0,,,
09,001,011000,5,"Block Group 5, Census Tract 110, Fairfield County, Connecticut",090010110005,236,236,0,411,0,39,51,142,85,77,17,656,656,656,0,0,0,0,0,0,656,621,621,0,0,0,0,0,0,35,35,0,0,0,0,0,0,,,
09,001,011100,1,"Block Group 1, Census Tract 111, Fairfield County, Connecticut",090010111001,885,807,78,1333,5,67,119,645,304,107,86,2310,2310,1842,9,0,293,0,7,159,2310,1848,1398,9,0,293,0,7,141,462,444,0,0,0,0,0,18,,,
09,001,011100,2,"Block Group 2, Census Tract 111, Fairfield County, Connecticut",090010111002,715,686,29,987,69,0,80,382,376,65,15,1527,1527,1441,0,0,22,0,0,64,1527,1441,1355,0,0,22,0,0,64,86,86,0,0,0,0,0,0,,,
09,001,011100,3,"Block Group 3, Census Tract 111, Fairfield County, Connecticut",090010111003,423,423,0,754,12,23,16,251,245,164,43,1311,1311,1239,0,13,11,0,0,48,1311,1205,1133,0,13,11,0,0,48,106,106,0,0,0,0,0,0,,,
09,001,011200,1,"Block Group 1, Census Tract 112, Fairfield County, Connecticut",090010112001,505,487,18,720,28,73,54,294,192,62,17,1004,1004,830,6,0,41,0,118,9,1004,849,788,6,0,41,0,5,9,155,42,0,0,0,0,113,0,,,
09,001,011200,2,"Block Group 2, Census Tract 112, Fairfield County, Connecticut",090010112002,327,300,27,479,0,15,62,242,114,30,16,853,853,615,0,0,39,0,9,190,853,694,558,0,0,39,0,0,97,159,57,0,0,0,0,9,93,,,
09,001,011300,1,"Block Group 1, Census Tract 113, Fairfield County, Connecticut",090010113001,1108,1002,106,1229,123,274,210,354,176,65,27,1689,1689,949,53,10,58,0,376,243,1689,885,725,53,10,58,0,0,39,804,224,0,0,0,0,376,204,,,
09,001,011300,2,"Block Group 2, Census Tract 113, Fairfield County, Connecticut",090010113002,758,701,57,823,99,234,153,240,87,10,0,1221,1221,981,14,0,75,0,53,98,1221,510,396,0,0,75,0,0,39,711,585,14,0,0,0,53,59,,,
09,001,020101,1,"Block Group 1, Census Tract 201.01, Fairfield County, Connecticut",090010201011,1540,1388,152,2109,202,290,157,803,522,48,87,2588,2588,1458,357,0,612,0,105,56,2588,2266,1282,337,0,612,0,0,35,322,176,20,0,0,0,105,21,,,
09,001,020102,1,"Block Group 1, Census Tract 201.02, Fairfield County, Connecticut",090010201021,505,505,0,1323,340,316,150,231,255,9,22,1606,1606,787,523,32,53,0,85,126,1606,1122,474,523,14,53,0,0,58,484,313,0,18,0,0,85,68,,,
09,001,020102,2,"Block Group 2, Census Tract 201.02, Fairfield County, Connecticut",090010201022,477,477,0,462,72,92,107,106,72,0,13,633,633,319,215,0,39,0,60,0,633,485,231,215,0,39,0,0,0,148,88,0,0,0,0,60,0,,,
09,001,020102,3,"Block Group 3, Census Tract 201.02, Fairfield County, Connecticut",090010201023,977,977,0,990,29,23,74,318,322,169,55,1321,1321,846,111,16,250,0,0,98,1321,1201,744,111,16,250,0,0,80,120,102,0,0,0,0,0,18,,,
09,001,020200,1,"Block Group 1, Census Tract 202, Fairfield County, Connecticut",090010202001,605,594,11,746,10,73,97,325,205,36,0,1071,1071,1014,22,0,22,0,0,13,1071,958,901,22,0,22,0,0,13,113,113,0,0,0,0,0,0,,,
09,001,020200,2,"Block Group 2, Census Tract 202, Fairfield County, Connecticut",090010202002,1657,1628,29,2361,10,151,406,815,601,311,67,2976,2976,2454,164,0,266,0,0,92,2976,2820,2353,109,0,266,0,0,92,156,101,55,0,0,0,0,0,,,
09,001,020301,1,"Block Group 1, Census Tract 203.01, Fairfield County, Connecticut",090010203011,727,727,0,933,27,43,129,218,313,110,93,1219,1219,906,45,0,17,0,0,251,1219,1042,906,45,0,17,0,0,74,177,0,0,0,0,0,0,177,,,
09,001,020301,2,"Block Group 2, Census Tract 203.01, Fairfield County, Connecticut",090010203012,1038,994,44,1524,34,164,306,512,297,103,108,2166,2166,1710,19,0,134,0,28,275,2166,1901,1581,19,0,134,0,0,167,265,129,0,0,0,0,28,108,,,
09,001,020302,1,"Block Group 1, Census Tract 203.02, Fairfield County, Connecticut",090010203021,928,915,13,1158,114,34,195,454,210,107,44,1843,1843,1542,222,0,52,0,0,27,1843,1587,1286,222,0,52,0,0,27,256,256,0,0,0,0,0,0,,,
09,001,020302,2,"Block Group 2, Census Tract 203.02, Fairfield County, Connecticut",090010203022,1125,1009,116,1497,82,106,265,435,346,207,56,2123,2123,1891,28,0,144,0,42,18,2123,2023,1833,28,0,144,0,0,18,100,58,0,0,0,0,42,0,,,
