"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Population Under 18 Years of Age for Whom Poverty Status Is Determined:","Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"090010101011","Block Group 1, Census Tract 101.01, Fairfield County, Connecticut","ACSSF","ct","150","00","0001445",,,,,"09","001",,,"010101","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101011","Block Group 1",,,,250001,,,,1057,69,988,885,793,309,127,25,688,652,36,1539,1472,1435,0,0,37,0,0,0,67,65,0,0,0,0,1,1
"090010101012","Block Group 2, Census Tract 101.01, Fairfield County, Connecticut","ACSSF","ct","150","00","0001446",,,,,"09","001",,,"010101","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101012","Block Group 2",,,,,,,,190,23,167,70,41,12,0,0,13,13,0,194,179,168,11,0,0,0,0,0,15,10,0,0,0,0,5,0
"090010101013","Block Group 3, Census Tract 101.01, Fairfield County, Connecticut","ACSSF","ct","150","00","0001447",,,,,"09","001",,,"010101","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101013","Block Group 3",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"090010101014","Block Group 4, Census Tract 101.01, Fairfield County, Connecticut","ACSSF","ct","150","00","0001448",,,,,"09","001",,,"010101","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101014","Block Group 4",,,,127639,,,,902,19,883,689,575,293,69,40,648,590,58,1299,1276,1130,104,0,42,0,0,0,23,0,0,0,0,0,0,23
"090010101015","Block Group 5, Census Tract 101.01, Fairfield County, Connecticut","ACSSF","ct","150","00","0001449",,,,,"09","001",,,"010101","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101015","Block Group 5",,,,235577,,,,954,6,948,806,779,385,79,9,685,668,17,1359,1235,1156,11,0,56,0,0,12,124,15,0,0,0,0,10,99
"090010101021","Block Group 1, Census Tract 101.02, Fairfield County, Connecticut","ACSSF","ct","150","00","0001450",,,,,"09","001",,,"010102","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101021","Block Group 1",,,,250001,,,,934,6,928,853,755,413,185,123,736,721,15,1628,1504,1324,3,0,35,0,0,142,124,124,0,0,0,0,0,0
"090010101022","Block Group 2, Census Tract 101.02, Fairfield County, Connecticut","ACSSF","ct","150","00","0001451",,,,,"09","001",,,"010102","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101022","Block Group 2",,,,250001,,,,811,0,811,811,768,451,181,13,603,559,44,1356,1356,1265,0,0,15,0,0,76,0,0,0,0,0,0,0,0
"090010101023","Block Group 3, Census Tract 101.02, Fairfield County, Connecticut","ACSSF","ct","150","00","0001452",,,,,"09","001",,,"010102","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010101023","Block Group 3",,,,250001,,,,880,15,865,765,607,333,114,30,566,566,0,1152,1099,974,48,0,77,0,0,0,53,22,31,0,0,0,0,0
"090010102011","Block Group 1, Census Tract 102.01, Fairfield County, Connecticut","ACSSF","ct","150","00","0001453",,,,,"09","001",,,"010201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US090010102011","Block Group 1",,,,250001,,,,781,0,781,758,705,343,63,19,441,413,28,1120,1081,997,0,0,38,0,0,46,39,10,0,0,0,0,0,29
