Geography ID,Name,Is Disadvantaged Community?,"Energy Burden (% income)","Avg. Annual Energy Cost ($)","Total Households","Household Income","Black/ African American (% pop.)","American Indian/ Native Alaskan (% pop.)","Asian (% pop.)","Native Hawaiian/ Other Pacific Islander (% pop.)","White Hispanic or Latino (% pop.)","White Non-Hispanic or Latino (% pop.)","Two or More Races (% pop.)","Other Races (% pop.)","Less Than High School (% pop.)","High School (% pop.)","Associates or Some College (% pop.)","Bachelors or Higher (% pop.)"
09001010101,"Census Tract 101.01, Fairfield County, Connecticut",false,2,5510,1347,280103,4,0,4,0,2,89,1,0,1,11,9,78
09001010102,"Census Tract 101.02, Fairfield County, Connecticut",false,1,5956,1362,397499,1,0,3,0,4,88,5,0,1,2,11,86
09001010201,"Census Tract 102.01, Fairfield County, Connecticut",false,2,5721,1119,355892,1,0,5,0,7,84,3,0,1,0,10,88
09001010202,"Census Tract 102.02, Fairfield County, Connecticut",false,2,4378,1951,243006,0,0,9,0,5,74,9,2,8,13,10,69
09001010300,"Census Tract 103, Fairfield County, Connecticut",false,2,4849,1475,321556,2,0,4,0,4,87,2,1,2,3,7,89
09001010400,"Census Tract 104, Fairfield County, Connecticut",false,2,4104,1978,234008,5,0,5,0,1,84,2,2,4,21,24,51
09001010500,"Census Tract 105, Fairfield County, Connecticut",false,2,2768,2533,122405,5,0,7,0,22,58,5,4,10,22,25,44
09001010600,"Census Tract 106, Fairfield County, Connecticut",false,2,2645,1023,174726,4,1,13,0,7,67,6,2,1,1,17,81
09001010700,"Census Tract 107, Fairfield County, Connecticut",false,2,3107,1567,168009,11,0,7,0,11,66,1,5,7,16,18,59
09001010800,"Census Tract 108, Fairfield County, Connecticut",false,2,4221,1217,235906,0,0,6,0,11,81,2,0,3,9,14,74
09001010900,"Census Tract 109, Fairfield County, Connecticut",false,2,4224,1851,258749,2,1,20,0,8,61,8,0,3,6,12,79
09001011000,"Census Tract 110, Fairfield County, Connecticut",false,2,4843,1850,318317,0,0,6,0,7,78,6,2,1,5,7,87
09001011100,"Census Tract 111, Fairfield County, Connecticut",false,2,5327,1499,350532,0,0,8,0,13,76,3,0,0,3,4,92
09001011200,"Census Tract 112, Fairfield County, Connecticut",false,2,5193,599,328584,0,0,4,0,6,68,14,8,4,5,8,83
09001011300,"Census Tract 113, Fairfield County, Connecticut",true,2,3710,1012,180876,5,0,4,0,27,39,10,14,8,20,13,58
09001020101,"Census Tract 201.01, Fairfield County, Connecticut",true,2,1565,1348,98355,19,0,21,0,7,45,2,6,5,11,10,74
09001020102,"Census Tract 201.02, Fairfield County, Connecticut",true,2,1702,1951,102816,24,2,9,0,13,44,5,5,16,17,16,52
09001020200,"Census Tract 202, Fairfield County, Connecticut",false,2,5521,1395,306231,5,0,7,0,4,80,3,0,0,3,20,77
09001020301,"Census Tract 203.01, Fairfield County, Connecticut",false,2,5198,1072,287840,2,0,2,0,4,72,19,1,1,3,20,76
09001020302,"Census Tract 203.02, Fairfield County, Connecticut",false,2,5553,1327,313686,5,0,7,0,7,77,2,1,2,6,7,85
09001020400,"Census Tract 204, Fairfield County, Connecticut",false,2,5076,1201,293457,3,0,11,0,7,69,4,7,8,10,14,67
09001020500,"Census Tract 205, Fairfield County, Connecticut",false,2,4843,1701,252356,4,1,4,1,5,82,4,0,8,6,13,74
09001020600,"Census Tract 206, Fairfield County, Connecticut",false,2,4390,1839,207618,8,0,11,0,9,61,8,2,4,15,17,64
09001020700,"Census Tract 207, Fairfield County, Connecticut",false,2,4272,1525,238541,2,2,4,0,6,81,2,3,9,19,11,61
09001020800,"Census Tract 208, Fairfield County, Connecticut",false,2,4652,871,268483,2,0,9,0,5,77,7,0,2,14,19,65
09001020900,"Census Tract 209, Fairfield County, Connecticut",false,3,3207,1980,125643,9,0,7,0,22,56,2,5,5,28,19,49
09001021000,"Census Tract 210, Fairfield County, Connecticut",false,2,4336,1172,215194,14,0,6,0,7,66,6,1,9,15,20,56
09001021100,"Census Tract 211, Fairfield County, Connecticut",false,3,3559,2340,133341,14,1,8,0,16,42,14,5,9,22,18,51
09001021200,"Census Tract 212, Fairfield County, Connecticut",false,2,3927,1726,203429,3,1,9,0,11,71,2,3,2,8,19,70
09001021300,"Census Tract 213, Fairfield County, Connecticut",false,2,3853,1854,172589,14,0,13,0,20,41,6,5,5,33,18,44
09001021401,"Census Tract 214.01, Fairfield County, Connecticut",true,2,3099,1088,127560,19,0,13,0,32,11,3,23,13,38,6,43
09001021402,"Census Tract 214.02, Fairfield County, Connecticut",true,2,2438,1535,120201,31,0,10,0,23,31,0,5,9,43,11,37
09001021501,"Census Tract 215.01, Fairfield County, Connecticut",true,3,2441,1376,70606,31,0,6,0,16,9,14,24,30,27,17,26
09001021502,"Census Tract 215.02, Fairfield County, Connecticut",true,4,2454,959,62813,33,0,0,0,19,11,6,31,43,23,19,14
09001021601,"Census Tract 216.01, Fairfield County, Connecticut",false,2,2173,1418,144689,11,0,27,0,6,44,11,1,0,7,15,78
09001021602,"Census Tract 216.02, Fairfield County, Connecticut",false,1,1669,2012,118603,19,0,24,0,3,35,9,11,3,9,17,71
09001021701,"Census Tract 217.01, Fairfield County, Connecticut",false,2,1743,1788,91995,25,0,7,0,10,36,4,18,15,15,21,48
09001021702,"Census Tract 217.02, Fairfield County, Connecticut",false,1,2047,1868,143673,14,0,23,0,14,47,2,0,3,6,14,78
09001021801,"Census Tract 218.01, Fairfield County, Connecticut",false,2,2797,1828,132931,7,0,14,1,19,41,3,15,4,23,22,51
09001021802,"Census Tract 218.02, Fairfield County, Connecticut",true,3,2767,1890,104650,12,3,8,0,17,34,3,24,10,22,28,39
09001021900,"Census Tract 219, Fairfield County, Connecticut",true,2,3391,2376,140631,11,0,5,0,17,53,2,12,9,14,33,44
09001022000,"Census Tract 220, Fairfield County, Connecticut",false,2,3171,1067,150838,19,0,1,0,22,42,15,1,14,16,25,45
09001022101,"Census Tract 221.01, Fairfield County, Connecticut",true,6,3124,877,54846,8,1,9,0,10,18,5,50,37,37,20,7
09001022102,"Census Tract 221.02, Fairfield County, Connecticut",true,2,2981,1570,143930,18,0,0,0,21,42,1,17,17,19,18,46
09001022201,"Census Tract 222.01, Fairfield County, Connecticut",false,1,1838,1409,131675,13,0,7,0,8,53,6,13,11,7,16,67
09001022202,"Census Tract 222.02, Fairfield County, Connecticut",false,1,2046,1768,146938,23,0,4,0,14,46,4,10,9,11,21,59
