"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Population Under 18 Years of Age for Whom Poverty Status Is Determined:","Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty","Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Civilian Population in Labor Force 16 Years and Over:","Civilian Population in Labor Force 16 Years and Over: Employed","Civilian Population in Labor Force 16 Years and Over: Unemployed","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"09001070100","Census Tract 701, Fairfield County, Connecticut","ACSSF","ct","140","00","0000672",,,,,"09","001",,,"070100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001070100","Census Tract 701",,,,91858,593,134,459,4066,547,3519,3118,2355,849,147,69,3860,3766,94,5091,4301,3486,286,0,110,0,95,324,790,364,7,0,0,0,328,91
"09001070200","Census Tract 702, Fairfield County, Connecticut","ACSSF","ct","140","00","0000673",,,,,"09","001",,,"070200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001070200","Census Tract 702",,,,47383,813,118,695,2665,413,2252,1605,769,473,52,11,2399,1958,441,3953,2791,1066,1595,0,130,0,0,0,1162,471,177,0,0,0,410,104
"09001070300","Census Tract 703, Fairfield County, Connecticut","ACSSF","ct","140","00","0000674",,,,,"09","001",,,"070300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001070300","Census Tract 703",,,,18093,544,335,209,508,209,299,83,45,14,13,0,351,255,96,1245,303,40,227,0,0,0,0,36,942,520,9,0,0,0,361,52
"09001070400","Census Tract 704, Fairfield County, Connecticut","ACSSF","ct","140","00","0000675",,,,,"09","001",,,"070400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001070400","Census Tract 704",,,,41027,127,44,83,734,99,635,398,248,105,45,12,978,868,110,1586,1098,687,264,0,67,0,44,36,488,109,27,0,0,0,275,77
"09001070500","Census Tract 705, Fairfield County, Connecticut","ACSSF","ct","140","00","0000676",,,,,"09","001",,,"070500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001070500","Census Tract 705",,,,33946,558,305,253,1188,251,937,607,342,83,0,0,940,839,101,1877,910,276,581,0,22,0,0,31,967,592,12,146,0,0,142,75
"09001070600","Census Tract 706, Fairfield County, Connecticut","ACSSF","ct","140","00","0000677",,,,,"09","001",,,"070600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001070600","Census Tract 706",,,,30435,212,83,129,1958,521,1437,1187,629,237,114,27,1182,1088,94,2599,1464,530,773,0,118,0,36,7,1135,622,110,0,0,0,243,160
"09001070900","Census Tract 709, Fairfield County, Connecticut","ACSSF","ct","140","00","0000678",,,,,"09","001",,,"070900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001070900","Census Tract 709",,,,30929,795,405,390,1873,767,1106,532,184,44,5,5,1151,1025,126,2908,1157,88,907,0,108,0,9,45,1751,508,88,0,0,0,868,287
"09001071000","Census Tract 710, Fairfield County, Connecticut","ACSSF","ct","140","00","0000679",,,,,"09","001",,,"071000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001071000","Census Tract 710",,,,56837,665,211,454,2001,692,1309,669,165,0,0,0,2199,2015,184,3640,2056,197,1464,0,161,0,0,234,1584,630,38,46,0,0,780,90
"09001071100","Census Tract 711, Fairfield County, Connecticut","ACSSF","ct","140","00","0000680",,,,,"09","001",,,"071100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US09001071100","Census Tract 711",,,,47837,1323,387,936,2682,1000,1682,831,298,90,12,0,2400,2048,352,4489,2258,296,1700,0,202,0,15,45,2231,677,146,95,0,0,1076,237
