State (FIPS Code),County of current residence,Census Tract,Qualifying Name,FIPS,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_QName,Geo_FIPS,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
09,001,010101,"Census Tract 101.01, Fairfield County, Connecticut",09001010101,2034,1923,111,3103,117,536,262,1189,724,201,74,4391,4391,3979,126,0,135,0,16,135,4391,4162,3889,126,0,135,0,0,12,229,90,0,0,0,0,16,123,996,0,996
09,001,010102,"Census Tract 101.02, Fairfield County, Connecticut",09001010102,1905,1846,59,2625,21,175,299,933,717,314,166,4136,4136,3709,82,0,127,0,0,218,4136,3959,3563,51,0,127,0,0,218,177,146,31,0,0,0,0,0,1186,0,1186
09,001,010201,"Census Tract 102.01, Fairfield County, Connecticut",09001010201,1278,1240,38,2237,46,195,199,775,720,247,55,3501,3501,3125,20,0,152,0,8,196,3501,3062,2824,13,0,152,0,0,73,439,301,7,0,0,0,8,123,954,42,912
09,001,010202,"Census Tract 102.02, Fairfield County, Connecticut",09001010202,2947,2748,199,3791,135,650,366,1329,994,217,100,5743,5743,4428,20,11,433,0,156,695,5743,5281,4131,20,11,433,0,41,645,462,297,0,0,0,0,115,50,1638,90,1548
09,001,010300,"Census Tract 103, Fairfield County, Connecticut",09001010300,2058,1982,76,3033,46,84,277,1221,945,379,81,4137,4137,3625,94,0,224,0,57,137,4137,4010,3555,94,0,224,0,0,137,127,70,0,0,0,0,57,0,913,0,913
09,001,010400,"Census Tract 104, Fairfield County, Connecticut",09001010400,3560,3307,253,4223,170,799,840,1230,944,160,80,5615,5615,4764,206,0,288,0,151,206,5615,5304,4735,185,0,288,0,0,96,311,29,21,0,0,0,151,110,1014,21,993
09,001,010500,"Census Tract 105, Fairfield County, Connecticut",09001010500,3747,3391,356,4437,369,1100,955,1145,742,92,34,6478,6478,4958,196,0,439,0,366,519,6478,4630,3691,196,0,439,0,100,204,1848,1267,0,0,0,0,266,315,1373,126,1247
09,001,010600,"Census Tract 106, Fairfield County, Connecticut",09001010600,1047,913,134,1580,9,83,266,699,360,141,22,1942,1942,1441,128,6,172,11,35,149,1942,1793,1337,120,6,172,0,35,123,149,104,8,0,0,11,0,26,277,90,187
09,001,010700,"Census Tract 107, Fairfield County, Connecticut",09001010700,1362,1198,164,2385,137,387,341,618,634,237,31,3391,3391,2466,452,0,137,0,288,48,3391,2809,2181,444,0,137,0,0,47,582,285,8,0,0,0,288,1,882,64,818
