GEOID,simpson_index,count
09001070200,0.5,4
09001070400,0.14097881665449236,39
09001070500,0.6800000000000002,5
09001070600,0.1636817992503123,53
09001070900,1.0,22
09001071000,0.375,4
09001071100,0.8673469387755102,34
09001071200,1.0,60
09001071300,0.9540484429065743,88
09001071400,0.9677506046761624,63
09001071600,1.0,5
09001072000,1.0,7
09001072100,1.0,3
09001073000,0.17460317460317457,21
09001073100,0.15277777777777776,20
09001073400,0.0755785123966942,228
09001073500,0.8062381852551984,48
09001073900,1.0,4
09001074000,0.2921810699588477,28
09001074300,0.948097757621567,191
09001074400,0.7483376820132986,112
09001081000,0.25,8
